,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
40,Jax Jones   Demi Lovato Stefflon Don, Instruction ,Gregor Salto & Leroy Styles Remix,0.102,https://api.spotify.com/v1/audio-analysis/6yf3MxEOScNBTYCHOAIiNQ,0.767,165467.0,0.929,6yf3MxEOScNBTYCHOAIiNQ,0.0,9.0,0.0921,-3.08,0.0,0.185,121.087,4.0,https://api.spotify.com/v1/tracks/6yf3MxEOScNBTYCHOAIiNQ,audio_features,spotify:track:6yf3MxEOScNBTYCHOAIiNQ,0.923
41,Antoine Clamaran Alex Guesta, Colorada ,Tribal Mix,0.00254,https://api.spotify.com/v1/audio-analysis/0bxjjhb3JinqfxZgJK7s8Y,0.723,280320.0,0.972,0bxjjhb3JinqfxZgJK7s8Y,0.00155,7.0,0.0592,-2.87,1.0,0.105,124.997,4.0,https://api.spotify.com/v1/tracks/0bxjjhb3JinqfxZgJK7s8Y,audio_features,spotify:track:0bxjjhb3JinqfxZgJK7s8Y,0.46
42,Iwan Esseboom, Wittie Visie ,Gregor Salto Remix,0.00071,https://api.spotify.com/v1/audio-analysis/1RzQ67rEykp8E0nPsnJbud,0.609,172846.0,0.963,1RzQ67rEykp8E0nPsnJbud,0.0195,10.0,0.0877,-4.705,1.0,0.0699,130.045,4.0,https://api.spotify.com/v1/tracks/1RzQ67rEykp8E0nPsnJbud,audio_features,spotify:track:1RzQ67rEykp8E0nPsnJbud,0.744
43,Relight Orchestra AQIILA Cleyton Barros, Olodum ,Gregor Salto Edit,0.0142,https://api.spotify.com/v1/audio-analysis/4Bbo6vSp6jQAIl96qXd85p,0.76,275625.0,0.916,4Bbo6vSp6jQAIl96qXd85p,0.574,9.0,0.0745,-5.852,1.0,0.0782,128.013,4.0,https://api.spotify.com/v1/tracks/4Bbo6vSp6jQAIl96qXd85p,audio_features,spotify:track:4Bbo6vSp6jQAIl96qXd85p,0.81
44,Agua Sin Gas by Antoine Clamaran, Machakos  ,MOGANGA,0.000868,https://api.spotify.com/v1/audio-analysis/0EWJfy0QC4kyR8pCVoEpxb,0.783,379925.0,0.953,0EWJfy0QC4kyR8pCVoEpxb,0.136,11.0,0.0521,-4.664,0.0,0.0542,126.012,4.0,https://api.spotify.com/v1/tracks/0EWJfy0QC4kyR8pCVoEpxb,audio_features,spotify:track:0EWJfy0QC4kyR8pCVoEpxb,0.748
45,Wiwek, Run  ,unknown,0.00316,https://api.spotify.com/v1/audio-analysis/2TlAeZG8WUKDyIoVqYmmxK,0.687,235056.0,0.931,2TlAeZG8WUKDyIoVqYmmxK,0.962,11.0,0.633,-5.006,0.0,0.0688,125.978,4.0,https://api.spotify.com/v1/tracks/2TlAeZG8WUKDyIoVqYmmxK,audio_features,spotify:track:2TlAeZG8WUKDyIoVqYmmxK,0.0444
46,Deejay Dario, Tropical  ,MOGANGA,0.0957,https://api.spotify.com/v1/audio-analysis/3vuQUvqBuPD0dYgjt9FLwH,0.763,180000.0,0.893,3vuQUvqBuPD0dYgjt9FLwH,0.111,0.0,0.132,-2.872,1.0,0.123,127.94,4.0,https://api.spotify.com/v1/tracks/3vuQUvqBuPD0dYgjt9FLwH,audio_features,spotify:track:3vuQUvqBuPD0dYgjt9FLwH,0.634
47,ID, ID  ,unknown,0.000124,https://api.spotify.com/v1/audio-analysis/1GfuUJQxZr1pOuFxpyR5yC,0.471,257496.0,0.808,1GfuUJQxZr1pOuFxpyR5yC,0.445,1.0,0.341,-8.396,1.0,0.0417,131.898,4.0,https://api.spotify.com/v1/tracks/1GfuUJQxZr1pOuFxpyR5yC,audio_features,spotify:track:1GfuUJQxZr1pOuFxpyR5yC,0.0969
48,Galantis ROZES, Girls On Boys ,Gregor Salto Remix,0.194,https://api.spotify.com/v1/audio-analysis/4d7GbB5RQckWmvgj9Q1fQa,0.638,179680.0,0.62,4d7GbB5RQckWmvgj9Q1fQa,0.000113,11.0,0.073,-2.416,1.0,0.0555,95.868,4.0,https://api.spotify.com/v1/tracks/4d7GbB5RQckWmvgj9Q1fQa,audio_features,spotify:track:4d7GbB5RQckWmvgj9Q1fQa,0.492
49,Gregor Salto   Teema, Yala  ,MOGANGA,0.0163,https://api.spotify.com/v1/audio-analysis/4dtZOnTFsmQA2dafJfZdGN,0.739,169524.0,0.812,4dtZOnTFsmQA2dafJfZdGN,0.495,0.0,0.0723,-4.46,1.0,0.0672,126.006,4.0,https://api.spotify.com/v1/tracks/4dtZOnTFsmQA2dafJfZdGN,audio_features,spotify:track:4dtZOnTFsmQA2dafJfZdGN,0.135
50,J Balvin Willy William, Mi Gente ,Moska Bootleg,0.0179,https://api.spotify.com/v1/audio-analysis/4ipnJyDU3Lq15qBAYNqlqK,0.774,189440.0,0.687,4ipnJyDU3Lq15qBAYNqlqK,1.17e-05,11.0,0.128,-4.818,0.0,0.0584,104.959,4.0,https://api.spotify.com/v1/tracks/4ipnJyDU3Lq15qBAYNqlqK,audio_features,spotify:track:4ipnJyDU3Lq15qBAYNqlqK,0.308
51,Kassiano   OYE!!! TOK, Make Money  ,MAD DECENT,0.0669,https://api.spotify.com/v1/audio-analysis/7twnwp5eDSvmEjMwjESA7v,0.745,183038.0,0.866,7twnwp5eDSvmEjMwjESA7v,0.0002,1.0,0.0928,-3.547,1.0,0.108,100.039,4.0,https://api.spotify.com/v1/tracks/7twnwp5eDSvmEjMwjESA7v,audio_features,spotify:track:7twnwp5eDSvmEjMwjESA7v,0.776
52,ID, ID  ,unknown,0.000124,https://api.spotify.com/v1/audio-analysis/1GfuUJQxZr1pOuFxpyR5yC,0.471,257496.0,0.808,1GfuUJQxZr1pOuFxpyR5yC,0.445,1.0,0.341,-8.396,1.0,0.0417,131.898,4.0,https://api.spotify.com/v1/tracks/1GfuUJQxZr1pOuFxpyR5yC,audio_features,spotify:track:1GfuUJQxZr1pOuFxpyR5yC,0.0969
53,Drake, Passionfruit  ,unknown,0.304,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,0.804,298941.0,0.459,5mCPDVBb16L4XQwDdbRUpz,0.0862,11.0,0.11,-11.556,1.0,0.039,111.963,4.0,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,audio_features,spotify:track:5mCPDVBb16L4XQwDdbRUpz,0.372
